seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778311421,3000,0.1,lightgbm,0.7,0.15989159891598917,0.15989159891598917,0.0,0.0,0.959349593495935,0.959349593495935,0.0,0.0,0.7294801641586868,0.7294801641586868,4.049547403525488,8500.0,2099.0,0.0,"[3299, 10199, 15299, 19799, 23999, 28799]"
1778311440,3000,0.1,lightgbm,0.7,0.15989159891598917,0.15989159891598917,0.0,0.0,0.959349593495935,0.959349593495935,0.0,0.0,0.7294801641586868,0.7294801641586868,3.7794575366829704,8500.0,2249.0,0.0,"[3299, 10199, 14999, 19799, 24299, 28799]"
1778311457,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778311474,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7294801641586868,0.7294801641586868,3.8239217429968875,8600.0,2249.0,0.0,"[3299, 10199, 14999, 19799, 24299, 29099]"
1778311492,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778311509,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778311526,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7294801641586868,0.7294801641586868,3.8239217429968875,8600.0,2249.0,0.0,"[3299, 10199, 14999, 19799, 24299, 29099]"
1778311544,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778311563,3000,0.1,lightgbm,0.7,0.15989159891598917,0.15989159891598917,0.0,0.0,0.959349593495935,0.959349593495935,0.0,0.0,0.7294801641586868,0.7294801641586868,3.7794575366829704,8500.0,2249.0,0.0,"[3299, 10199, 15299, 19799, 24299, 28799]"
1778311581,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7294801641586868,0.7294801641586868,4.0971891376846115,8600.0,2099.0,0.0,"[3299, 10199, 14999, 19799, 23999, 29099]"
1778311598,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 15299, 19499, 23699, 29099]"
1778311615,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 15299, 19499, 23699, 29099]"
1778311633,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778311652,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778311669,3000,0.1,lightgbm,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
