seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1778248504,3000,0.1,0.7,0.12077083333333334,0.12077083333333334,0.21427083333333333,0.21427083333333333,0.5765833333333333,0.5765833333333333,0.21272099725796953,0.21272099725796953,0.579237358006958,0.579237358006958,"[7499, 20699, 56399]"
1778248567,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778248631,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778248697,3000,0.1,0.7,0.1239722222222222,0.1239722222222222,0.215625,0.215625,0.5875416666666666,0.5875416666666666,0.21443988626295485,0.21443988626295485,0.5907384318570285,0.5907384318570285,"[8999, 22199, 56399]"
1778248760,3000,0.1,0.7,0.12057638888888889,0.12057638888888889,0.2139375,0.2139375,0.5756666666666667,0.5756666666666667,0.21231983149437514,0.21231983149437514,0.5783846809651408,0.5783846809651408,"[7199, 20699, 56399]"
1778248823,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778248886,3000,0.1,0.7,0.12782638888888886,0.12782638888888886,0.21522916666666667,0.21522916666666667,0.5987083333333333,0.5987083333333333,0.21431331732508715,0.21431331732508715,0.6018384828575793,0.6018384828575793,"[8999, 23999, 56399]"
1778248953,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778249018,3000,0.1,0.7,0.12058333333333333,0.12058333333333333,0.21483333333333332,0.21483333333333332,0.5765833333333333,0.5765833333333333,0.21344506752609657,0.21344506752609657,0.579741973361047,0.579741973361047,"[7799, 20999, 56399]"
1778249079,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778249143,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778249209,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778249274,3000,0.1,0.7,0.12058333333333333,0.12058333333333333,0.21483333333333332,0.21483333333333332,0.5765833333333333,0.5765833333333333,0.21344506752609657,0.21344506752609657,0.579741973361047,0.579741973361047,"[7799, 20999, 56399]"
1778249338,3000,0.1,0.7,0.12122222222222223,0.12122222222222223,0.21385416666666668,0.21385416666666668,0.5775208333333334,0.5775208333333334,0.21223522050669688,0.21223522050669688,0.5807670408194853,0.5807670408194853,"[7199, 21299, 56399]"
1778249399,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778249461,3000,0.1,0.7,0.12058333333333333,0.12058333333333333,0.21483333333333332,0.21483333333333332,0.5765833333333333,0.5765833333333333,0.21344506752609657,0.21344506752609657,0.579741973361047,0.579741973361047,"[7799, 20999, 56399]"
1778249522,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778249588,3000,0.1,0.7,0.12119444444444444,0.12119444444444444,0.21389583333333334,0.21389583333333334,0.5774791666666667,0.5774791666666667,0.2123573159038604,0.2123573159038604,0.5807050831666846,0.5807050831666846,"[7199, 20999, 56399]"
1778249649,3000,0.1,0.7,0.12056603773584905,0.12056603773584905,0.21436058700209643,0.21436058700209643,0.5760587002096436,0.5760587002096436,0.2127589734602006,0.2127589734602006,0.5787900588587318,0.5787900588587318,"[7199, 20699, 56099]"
1778249712,3000,0.1,0.7,0.12058333333333333,0.12058333333333333,0.21483333333333332,0.21483333333333332,0.5765833333333333,0.5765833333333333,0.21344506752609657,0.21344506752609657,0.579741973361047,0.579741973361047,"[7799, 20999, 56399]"
