seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1777655994,500,0.5,lightgbm,first,0.7,0.11127472171187722,0.11127472171187722,0.10746064339493498,0.10746064339493498,0.5525595302424439,0.5525595302424439,0.10579715677127084,0.10579715677127084,0.552086539084672,0.552086539084672,"[1499, 9499, 20999, 56249]"
1777656093,500,0.5,lightgbm,all,0.7,0.11069506726457401,0.11069506726457401,0.10746188340807175,0.10746188340807175,0.5502421524663678,0.5502421524663678,0.10577423185174784,0.10577423185174784,0.5497716640067677,0.5497716640067677,"[1499, 9249, 20999, 56999]"
1777656197,500,0.5,lightgbm,first,0.7,0.10971216542382652,0.10971216542382652,0.10762275298101516,0.10762275298101516,0.5464714146763212,0.5464714146763212,0.10596778411974338,0.10596778411974338,0.5469911907538566,0.5469911907538566,"[1499, 10249, 20999, 56249]"
1777656297,500,0.5,lightgbm,all,0.7,0.10874439461883409,0.10874439461883409,0.10742600896860986,0.10742600896860986,0.5424035874439462,0.5424035874439462,0.1057403607818652,0.1057403607818652,0.5446969451324418,0.5446969451324418,"[1499, 9249, 21499, 56999]"
1777656405,500,0.5,lightgbm,first,0.7,0.10798749954969558,0.10798749954969558,0.10780287474332649,0.10780287474332649,0.5397528729421088,0.5397528729421088,0.10617938521768151,0.10617938521768151,0.540957117209615,0.540957117209615,"[2249, 10749, 22499, 54749]"
1777656506,500,0.5,lightgbm,all,0.7,0.15184932816908145,0.15184932816908145,0.10744512982355472,0.10744512982355472,0.562993114330799,0.562993114330799,0.10574935671597574,0.10574935671597574,0.5658785285585689,0.5658785285585689,"[1499, 9249, 20499]"
1777656613,500,0.5,lightgbm,first,0.7,0.1429493616410845,0.1429493616410845,0.10710443264954812,0.10710443264954812,0.5359525175728016,0.5359525175728016,0.10547105879102225,0.10547105879102225,0.5372928063568276,0.5372928063568276,"[1499, 10749, 39999]"
1777656714,500,0.5,lightgbm,all,0.7,0.1475756706354899,0.1475756706354899,0.10744512982355472,0.10744512982355472,0.5501721417300244,0.5501721417300244,0.10575310130402184,0.10575310130402184,0.5497065101505553,0.5497065101505553,"[1499, 9249, 20999]"
1777656823,500,0.5,lightgbm,first,0.7,0.10890612053748333,0.10890612053748333,0.10753269209985951,0.10753269209985951,0.5431571742497928,0.5431571742497928,0.10587219955372044,0.10587219955372044,0.5453692457852161,0.5453692457852161,"[1499, 10999, 21499, 56249]"
1777656921,500,0.5,lightgbm,all,0.7,0.11100448430493275,0.11100448430493275,0.10739013452914799,0.10739013452914799,0.551408071748879,0.551408071748879,0.10570301820685139,0.10570301820685139,0.5520345533295877,0.5520345533295877,"[1499, 9249, 21249, 56999]"
1777657029,500,0.5,lightgbm,first,0.7,0.11127472171187722,0.11127472171187722,0.10746064339493498,0.10746064339493498,0.5525595302424439,0.5525595302424439,0.10579715677127084,0.10579715677127084,0.552086539084672,0.552086539084672,"[1499, 9499, 20999, 56249]"
1777657130,500,0.5,lightgbm,all,0.7,0.13731291541146654,0.13731291541146654,0.10715822694018075,0.10715822694018075,0.5190969731745804,0.5190969731745804,0.10548462271101532,0.10548462271101532,0.5205661678028493,0.5205661678028493,"[1499, 9499, 36999]"
1777657236,500,0.5,lightgbm,first,0.7,0.11439983428797866,0.11439983428797866,0.10726250945639253,0.10726250945639253,0.5648618466083072,0.5648618466083072,0.10563067269999599,0.10563067269999599,0.5674762551819666,0.5674762551819666,"[1499, 9749, 24249, 56249]"
1777657334,500,0.5,lightgbm,all,0.7,0.14247716731219814,0.14247716731219814,0.10699684406828289,0.10699684406828289,0.5344283460048773,0.5344283460048773,0.10533555388606682,0.10533555388606682,0.5350737272608099,0.5350737272608099,"[1499, 9499, 39999]"
1777657440,500,0.5,lightgbm,first,0.7,0.11011293634496921,0.11011293634496921,0.10776685039086423,0.10776685039086423,0.5482185957707411,0.5482185957707411,0.10611246563968829,0.10611246563968829,0.5482719093443368,0.5482719093443368,"[2249, 9499, 20999, 56249]"
1777657538,500,0.5,lightgbm,all,0.7,0.1475756706354899,0.1475756706354899,0.10744512982355472,0.10744512982355472,0.5501721417300244,0.5501721417300244,0.10575310130402184,0.10575310130402184,0.5497065101505553,0.5497065101505553,"[1499, 9249, 20999]"
1777657641,500,0.5,lightgbm,first,0.7,0.11081541121798337,0.11081541121798337,0.10733455816131705,0.10733455816131705,0.5505962030332505,0.5505962030332505,0.10569616111489925,0.10569616111489925,0.5516129877381758,0.5516129877381758,"[1499, 9749, 21249, 56249]"
1777657740,500,0.5,lightgbm,all,0.7,0.1475756706354899,0.1475756706354899,0.10744512982355472,0.10744512982355472,0.5501721417300244,0.5501721417300244,0.10575310130402184,0.10575310130402184,0.5497065101505553,0.5497065101505553,"[1499, 9249, 20999]"
1777657847,500,0.5,lightgbm,first,0.7,0.11127472171187722,0.11127472171187722,0.10746064339493498,0.10746064339493498,0.5525595302424439,0.5525595302424439,0.10579715677127084,0.10579715677127084,0.552086539084672,0.552086539084672,"[1499, 9499, 20999, 56249]"
1777657947,500,0.5,lightgbm,all,0.7,0.1475756706354899,0.1475756706354899,0.10744512982355472,0.10744512982355472,0.5501721417300244,0.5501721417300244,0.10575310130402184,0.10575310130402184,0.5497065101505553,0.5497065101505553,"[1499, 9249, 20999]"
1777658054,500,0.5,lightgbm,first,0.7,0.1104821859577074,0.1104821859577074,0.10740660686624158,0.10740660686624158,0.5493353506970712,0.5493353506970712,0.10576770003200336,0.10576770003200336,0.5492551881231449,0.5492551881231449,"[1499, 9749, 20999, 56249]"
1777658151,500,0.5,lightgbm,all,0.7,0.1475756706354899,0.1475756706354899,0.10744512982355472,0.10744512982355472,0.5501721417300244,0.5501721417300244,0.10575310130402184,0.10575310130402184,0.5497065101505553,0.5497065101505553,"[1499, 9249, 20999]"
1777658257,500,0.5,lightgbm,first,0.7,0.14247716731219814,0.14247716731219814,0.10699684406828289,0.10699684406828289,0.5344283460048773,0.5344283460048773,0.10533555388606682,0.10533555388606682,0.5350737272608099,0.5350737272608099,"[1499, 9499, 39999]"
1777658356,500,0.5,lightgbm,all,0.7,0.11163046219244208,0.11163046219244208,0.10751467992362837,0.10751467992362837,0.5540365286933967,0.5540365286933967,0.10583584612619006,0.10583584612619006,0.5537046924112362,0.5537046924112362,"[1499, 9499, 20999, 54749]"
1777658464,500,0.5,lightgbm,first,0.7,0.15164012814995456,0.15164012814995456,0.10737340410271123,0.10737340410271123,0.562293788552575,0.562293788552575,0.10567232344212946,0.10567232344212946,0.5641769125023895,0.5641769125023895,"[1499, 11749, 39999]"
1777658564,500,0.5,lightgbm,all,0.7,0.14798809353033995,0.14798809353033995,0.10737340410271123,0.10737340410271123,0.5513376846937311,0.5513376846937311,0.1056818954455595,0.1056818954455595,0.5519705870308541,0.5519705870308541,"[1499, 9249, 21249]"
1777658672,500,0.5,lightgbm,first,0.7,0.11101804820058359,0.11101804820058359,0.1076407651572463,0.1076407651572463,0.5517129579595806,0.5517129579595806,0.1059709637468599,0.1059709637468599,0.5513894320145467,0.5513894320145467,"[1499, 9249, 20999, 56249]"
1777658771,500,0.5,lightgbm,all,0.7,0.14433008176732176,0.14433008176732176,0.10717615837039163,0.10717615837039163,0.5401664036723569,0.5401664036723569,0.10551675779879799,0.10551675779879799,0.5427087006887507,0.5427087006887507,"[1499, 9749, 21499]"
1777658877,500,0.5,lightgbm,first,0.7,0.1104821859577074,0.1104821859577074,0.10740660686624158,0.10740660686624158,0.5493353506970712,0.5493353506970712,0.10576770003200336,0.10576770003200336,0.5492551881231449,0.5492551881231449,"[1499, 9749, 20999, 56249]"
