seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1778249777,3000,0.1,lightgbm,first,0.7,0.11960416666666666,0.11960416666666666,0.21641666666666667,0.21641666666666667,0.5752291666666667,0.5752291666666667,0.21517483238518775,0.21517483238518775,0.577961096373994,0.577961096373994,"[9299, 21299, 56399]"
1778249874,3000,0.1,lightgbm,all,0.7,0.11952777777777779,0.11952777777777779,0.21583333333333332,0.21583333333333332,0.5744166666666667,0.5744166666666667,0.21455182018476426,0.21455182018476426,0.5770218715932822,0.5770218715932822,"[8999, 21299, 56399]"
1778249993,3000,0.1,lightgbm,first,0.7,0.11960416666666666,0.11960416666666666,0.21641666666666667,0.21641666666666667,0.5752291666666667,0.5752291666666667,0.21517483238518775,0.21517483238518775,0.577961096373994,0.577961096373994,"[9299, 21299, 56399]"
1778250092,3000,0.1,lightgbm,all,0.7,0.13625012703805336,0.13625012703805336,0.21727862711790583,0.21727862711790583,0.6260290082320659,0.6260290082320659,0.21642679071383922,0.21642679071383922,0.6288125676808972,0.6288125676808972,"[6899, 17999, 40799]"
1778250210,3000,0.1,lightgbm,first,0.7,0.11949685534591196,0.11949685534591196,0.21626834381551363,0.21626834381551363,0.5747589098532495,0.5747589098532495,0.215005166647814,0.215005166647814,0.57737620590927,0.57737620590927,"[8999, 21299, 56099]"
1778250304,3000,0.1,lightgbm,all,0.7,0.11952777777777779,0.11952777777777779,0.21583333333333332,0.21583333333333332,0.5744166666666667,0.5744166666666667,0.21455182018476426,0.21455182018476426,0.5770218715932822,0.5770218715932822,"[8999, 21299, 56399]"
1778250428,3000,0.1,lightgbm,first,0.7,0.1195902777777778,0.1195902777777778,0.21645833333333334,0.21645833333333334,0.5752291666666667,0.5752291666666667,0.2152966719622584,0.2152966719622584,0.5779747617641889,0.5779747617641889,"[9299, 20999, 56399]"
1778250526,3000,0.1,lightgbm,all,0.7,0.11952777777777779,0.11952777777777779,0.21583333333333332,0.21583333333333332,0.5744166666666667,0.5744166666666667,0.21455182018476426,0.21455182018476426,0.5770218715932822,0.5770218715932822,"[8999, 21299, 56399]"
1778250654,3000,0.1,lightgbm,first,0.7,0.11944793850454227,0.11944793850454227,0.21631027253668764,0.21631027253668764,0.5746540880503145,0.5746540880503145,0.2151278554224331,0.2151278554224331,0.5772826440931945,0.5772826440931945,"[8999, 20999, 56099]"
1778250751,3000,0.1,lightgbm,all,0.7,0.11863902318625956,0.11863902318625956,0.21971775774206193,0.21971775774206193,0.5756348273008406,0.5756348273008406,0.21836120829870165,0.21836120829870165,0.5783630466570363,0.5783630466570363,"[9299, 20999, 53099]"
