seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1778254172,3000,0.1,lightgbm,0.7,0.12057302585604472,0.12057302585604472,0.21522012578616354,0.21522012578616354,0.5769392033542977,0.5769392033542977,0.21376844242046575,0.21376844242046575,0.58012599900087,0.58012599900087,"[7799, 21299, 56099]"
1778254266,3000,0.1,lightgbm,0.7,0.1195737246680643,0.1195737246680643,0.2168553459119497,0.2168553459119497,0.5755765199161426,0.5755765199161426,0.21563192985189517,0.21563192985189517,0.5783231546836639,0.5783231546836639,"[9299, 21299, 56099]"
1778254359,3000,0.1,lightgbm,0.7,0.12844444444444444,0.12844444444444444,0.21589583333333334,0.21589583333333334,0.6012291666666667,0.6012291666666667,0.21493181189293434,0.21493181189293434,0.6041907117189725,0.6041907117189725,"[9299, 23699, 56399]"
1778254455,3000,0.1,lightgbm,0.7,0.12784027777777776,0.12784027777777776,0.21564583333333334,0.21564583333333334,0.5991666666666666,0.5991666666666666,0.21466087093400088,0.21466087093400088,0.6023526789697254,0.6023526789697254,"[9299, 23099, 56399]"
1778254548,3000,0.1,lightgbm,0.7,0.12024305555555555,0.12024305555555555,0.21683333333333332,0.21683333333333332,0.5775625,0.5775625,0.21558189400356695,0.21558189400356695,0.5803028088819717,0.5803028088819717,"[9599, 21299, 56399]"
1778254647,3000,0.1,lightgbm,0.7,0.17264181990209385,0.17264181990209385,0.21895182854086964,0.21895182854086964,0.5642354683450573,0.5642354683450573,0.21806641859209894,0.21806641859209894,0.5678179709521217,0.5678179709521217,"[9599, 40499]"
1778254743,3000,0.1,lightgbm,0.7,0.12952799918695648,0.12952799918695648,0.21516616577377062,0.21516616577377062,0.60375016333464,0.60375016333464,0.21382280919985772,0.21382280919985772,0.6076762036237874,0.6076762036237874,"[7199, 17999, 51599]"
1778254839,3000,0.1,lightgbm,0.7,0.17035871487926285,0.17035871487926285,0.219301493274096,0.219301493274096,0.5600189230326217,0.5600189230326217,0.21840776897102324,0.21840776897102324,0.5635563004868077,0.5635563004868077,"[9599, 41099]"
1778254934,3000,0.1,lightgbm,0.7,0.12897916666666667,0.12897916666666667,0.21610416666666668,0.21610416666666668,0.6030416666666667,0.6030416666666667,0.21502684498462,0.21502684498462,0.6062191650905143,0.6062191650905143,"[9599, 22799, 56399]"
1778255031,3000,0.1,lightgbm,0.7,0.11855699855699857,0.11855699855699857,0.21945887445887446,0.21945887445887446,0.5751298701298702,0.5751298701298702,0.2181996515973628,0.2181996515973628,0.5778910778841884,0.5778910778841884,"[9299, 21299, 54599]"
1778255127,3000,0.1,lightgbm,0.7,0.17035871487926285,0.17035871487926285,0.219301493274096,0.219301493274096,0.5600189230326217,0.5600189230326217,0.21840776897102324,0.21840776897102324,0.5635563004868077,0.5635563004868077,"[9599, 41099]"
1778255222,3000,0.1,lightgbm,0.7,0.11960416666666666,0.11960416666666666,0.21641666666666667,0.21641666666666667,0.5752291666666667,0.5752291666666667,0.21517483238518775,0.21517483238518775,0.577961096373994,0.577961096373994,"[9299, 21299, 56399]"
1778255315,3000,0.1,lightgbm,0.7,0.12024305555555555,0.12024305555555555,0.21683333333333332,0.21683333333333332,0.5775625,0.5775625,0.21558189400356695,0.21558189400356695,0.5803028088819717,0.5803028088819717,"[9599, 21299, 56399]"
1778255413,3000,0.1,lightgbm,0.7,0.11960416666666666,0.11960416666666666,0.21641666666666667,0.21641666666666667,0.5752291666666667,0.5752291666666667,0.21517483238518775,0.21517483238518775,0.577961096373994,0.577961096373994,"[9299, 21299, 56399]"
1778255509,3000,0.1,lightgbm,0.7,0.12021663172606568,0.12021663172606568,0.21727463312368972,0.21727463312368972,0.5779245283018868,0.5779245283018868,0.21604144602779288,0.21604144602779288,0.5806796714223464,0.5806796714223464,"[9599, 21299, 56099]"
1778255604,3000,0.1,lightgbm,0.7,0.1195737246680643,0.1195737246680643,0.2168553459119497,0.2168553459119497,0.5755765199161426,0.5755765199161426,0.21563192985189517,0.21563192985189517,0.5783231546836639,0.5783231546836639,"[9299, 21299, 56099]"
1778255700,3000,0.1,lightgbm,0.7,0.12,0.12,0.21564583333333334,0.21564583333333334,0.5756458333333333,0.5756458333333333,0.21434308439329156,0.21434308439329156,0.5784773013256674,0.5784773013256674,"[8999, 21599, 56399]"
1778255794,3000,0.1,lightgbm,0.7,0.17264181990209385,0.17264181990209385,0.21895182854086964,0.21895182854086964,0.5642354683450573,0.5642354683450573,0.21806641859209894,0.21806641859209894,0.5678179709521217,0.5678179709521217,"[9599, 40499]"
1778255889,3000,0.1,lightgbm,0.7,0.12918681127226794,0.12918681127226794,0.21614617361383334,0.21614617361383334,0.6037066074306372,0.6037066074306372,0.21495225255816838,0.21495225255816838,0.6076336122942579,0.6076336122942579,"[7799, 17999, 51599]"
1778255983,3000,0.1,lightgbm,0.7,0.12812500000000002,0.12812500000000002,0.2156875,0.2156875,0.6000625,0.6000625,0.21461903819509023,0.21461903819509023,0.6032279693975992,0.6032279693975992,"[9299, 22799, 56399]"
