seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1777660118,500,0.5,lightgbm,0.7,0.14624874479988526,0.14624874479988526,0.10766030698608521,0.10766030698608521,0.546406541385741,0.546406541385741,0.1059744327953503,0.1059744327953503,0.5480245911535101,0.5480245911535101,"[1499, 12249, 49749]"
1777660217,500,0.5,lightgbm,0.7,0.14457514464687038,0.14457514464687038,0.1074630612537656,0.1074630612537656,0.5411884951943767,0.5411884951943767,0.10574877566642349,0.10574877566642349,0.5421472348888513,0.5421472348888513,"[1499, 12499, 52749]"
1777660318,500,0.5,lightgbm,0.7,0.10818031846220054,0.10818031846220054,0.10733754124228949,0.10733754124228949,0.4318784966288911,0.4318784966288911,0.10568807788511492,0.10568807788511492,0.4314181726433978,0.4314181726433978,"[1499, 10249, 54749]"
1777660420,500,0.5,lightgbm,0.7,0.1448022760962081,0.1448022760962081,0.10730167838186774,0.10730167838186774,0.5417085066704921,0.5417085066704921,0.10559828811734967,0.10559828811734967,0.5435403887422792,0.5435403887422792,"[1499, 11999, 52749]"
1777660522,500,0.5,lightgbm,0.7,0.1459678190599149,0.1459678190599149,0.10740926696313298,0.10740926696313298,0.5453127241428777,0.5453127241428777,0.10572118309393684,0.10572118309393684,0.547080622667406,0.547080622667406,"[1499, 11999, 49749]"
1777660622,500,0.5,lightgbm,0.7,0.11039212507655174,0.11039212507655174,0.10740660686624158,0.10740660686624158,0.5489751071724486,0.5489751071724486,0.10572691787812454,0.10572691787812454,0.5513712097177594,0.5513712097177594,"[1499, 11499, 22999, 56499]"
1777660722,500,0.5,lightgbm,0.7,0.15643186118747543,0.15643186118747543,0.10709057802849084,0.10709057802849084,0.4199543004034417,0.4199543004034417,0.10543410217903078,0.10543410217903078,0.41880865376661885,0.41880865376661885,"[1499, 10249]"
1777660821,500,0.5,lightgbm,0.7,0.14457514464687038,0.14457514464687038,0.1074630612537656,0.1074630612537656,0.5411884951943767,0.5411884951943767,0.10574877566642349,0.10574877566642349,0.5421472348888513,0.5421472348888513,"[1499, 12499, 52749]"
1777660919,500,0.5,lightgbm,0.7,0.14629058480371063,0.14629058480371063,0.10733754124228949,0.10733754124228949,0.5462092956534214,0.5462092956534214,0.1056475132454386,0.1056475132454386,0.5464122831878301,0.5464122831878301,"[1499, 11499, 20999]"
1777661020,500,0.5,lightgbm,0.7,0.15141897384402048,0.15141897384402048,0.10755271840481997,0.10755271840481997,0.5618096399368814,0.5618096399368814,0.10584484274080569,0.10584484274080569,0.564445712420156,0.564445712420156,"[1499, 12749, 46249]"
1777661119,500,0.5,lightgbm,0.7,0.14494572753789509,0.14494572753789509,0.10733754124228949,0.10733754124228949,0.5421747238559748,0.5421747238559748,0.10565527938349784,0.10565527938349784,0.5438488335693608,0.5438488335693608,"[1499, 11999, 52499]"
1777661219,500,0.5,lightgbm,0.7,0.14575861904078802,0.14575861904078802,0.10749892411418735,0.10749892411418735,0.5447747812365514,0.5447747812365514,0.10578418851662867,0.10578418851662867,0.5457791222145949,0.5457791222145949,"[1499, 12499, 51499]"
1777661317,500,0.5,lightgbm,0.7,0.11511380481040501,0.11511380481040501,0.10706856978912638,0.10706856978912638,0.4524099842203414,0.4524099842203414,0.10542198673528158,0.10542198673528158,0.4568030802918301,0.4568030802918301,"[1499, 9749, 53499]"
1777661416,500,0.5,lightgbm,0.7,0.13380433223353896,0.13380433223353896,0.10744512982355472,0.10744512982355472,0.5088581265241716,0.5088581265241716,0.10573300757216393,0.10573300757216393,0.5121185819038395,0.5121185819038395,"[1499, 11749, 52749]"
1777661517,500,0.5,lightgbm,0.7,0.14494572753789509,0.14494572753789509,0.10733754124228949,0.10733754124228949,0.5421747238559748,0.5421747238559748,0.10565527938349784,0.10565527938349784,0.5438488335693608,0.5438488335693608,"[1499, 11999, 52499]"
1777661616,500,0.5,lightgbm,0.7,0.11450340430130768,0.11450340430130768,0.10729853380885479,0.10729853380885479,0.5653121510140855,0.5653121510140855,0.10563523703463791,0.10563523703463791,0.5675013623280164,0.5675013623280164,"[1499, 9749, 22749, 56249]"
1777661718,500,0.5,lightgbm,0.7,0.11121618213912604,0.11121618213912604,0.10724449728016139,0.10724449728016139,0.5521092258366656,0.5521092258366656,0.10559136960166159,0.10559136960166159,0.5539122512743527,0.5539122512743527,"[1499, 9749, 22999, 56249]"
1777661814,500,0.5,lightgbm,0.7,0.11004989372816024,0.11004989372816024,0.10753269209985951,0.10753269209985951,0.5477322670125004,0.5477322670125004,0.10586476560362086,0.10586476560362086,0.5480783989497099,0.5480783989497099,"[1499, 11499, 20999, 56249]"
1777661914,500,0.5,lightgbm,0.7,0.14385788743843544,0.14385788743843544,0.10751685554439822,0.10751685554439822,0.5390905178597045,0.5390905178597045,0.10580375043690184,0.10580375043690184,0.5399652250290535,0.5399652250290535,"[1499, 12499, 53499]"
1777662013,500,0.5,lightgbm,0.7,0.14234567015731842,0.14234567015731842,0.10760651269545259,0.10760651269545259,0.5346435231674078,0.5346435231674078,0.10593476790564536,0.10593476790564536,0.5364375675942079,0.5364375675942079,"[1499, 12249, 56249]"
