seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1777190152,250,1.0,lightgbm,first,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190245,250,1.0,lightgbm,all,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190345,250,1.0,lightgbm,first,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190439,250,1.0,lightgbm,all,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190539,250,1.0,lightgbm,first,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190628,250,1.0,lightgbm,all,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190729,250,1.0,lightgbm,first,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190819,250,1.0,lightgbm,all,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777190922,250,1.0,lightgbm,first,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
1777191010,250,1.0,lightgbm,all,0.7,0,0,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1307250563697858,0.1270973190017034,0.1270973190017034,0.1270973190017034,0.1270973190017034,[]
