seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1777982544,500,0.5,lightgbm,0.7,0.14057643570984554,0.14057643570984554,0.10699684406828289,0.10699684406828289,0.5287261511978195,0.5287261511978195,0.10535984477409412,0.10535984477409412,0.5306691384723469,0.5306691384723469,"[1499, 9749, 40499]"
1777982645,500,0.5,lightgbm,0.7,0.13522689236360155,0.13522689236360155,0.10749892411418735,0.10749892411418735,0.5131796012049921,0.5131796012049921,0.10579357470284974,0.10579357470284974,0.516549694518579,0.516549694518579,"[1499, 11749, 51999]"
1777982745,500,0.5,lightgbm,0.7,0.14061827571367091,0.14061827571367091,0.10728374695165686,0.10728374695165686,0.5291385740926696,0.5291385740926696,0.10560516683617795,0.10560516683617795,0.5309381012656734,0.5309381012656734,"[1499, 8999, 41249]"
1777982842,500,0.5,lightgbm,0.7,0.14511906469660021,0.14511906469660021,0.10755271840481997,0.10755271840481997,0.5429099124946206,0.5429099124946206,0.10585140078203321,0.10585140078203321,0.5448797463972579,0.5448797463972579,"[1499, 12249, 52749]"
1777982943,500,0.5,lightgbm,0.7,0.1448022760962081,0.1448022760962081,0.10730167838186774,0.10730167838186774,0.5417085066704921,0.5417085066704921,0.10559828811734967,0.10559828811734967,0.5435403887422792,0.5435403887422792,"[1499, 11999, 52749]"
1777983048,500,0.5,lightgbm,0.7,0.12621336011093578,0.12621336011093578,0.10724788409123512,0.10724788409123512,0.4858879644240425,0.4858879644240425,0.10560347447451322,0.10560347447451322,0.48750842042548465,0.48750842042548465,"[1499, 10249, 45749]"
1777983146,500,0.5,lightgbm,0.7,0.14409099603117678,0.14409099603117678,0.1073913355329221,0.1073913355329221,0.5396643236264524,0.5396643236264524,0.1056795062379418,0.1056795062379418,0.54061383449853,0.54061383449853,"[1499, 12499, 52999]"
1777983245,500,0.5,lightgbm,0.7,0.1441686988954239,0.1441686988954239,0.10757064983503084,0.10757064983503084,0.5400767465213026,0.5400767465213026,0.10586248334117036,0.10586248334117036,0.5410264592985669,0.5410264592985669,"[1499, 12499, 53249]"
1777983344,500,0.5,lightgbm,0.7,0.15238727107540764,0.15238727107540764,0.10757064983503084,0.10757064983503084,0.5647324630612538,0.5647324630612538,0.1058812619251392,0.1058812619251392,0.5669023421510181,0.5669023421510181,"[1499, 12749, 45749]"
1777983446,500,0.5,lightgbm,0.7,0.14612920193181275,0.14612920193181275,0.10758858126524172,0.10758858126524172,0.54597618706068,0.54597618706068,0.10588682443120495,0.10588682443120495,0.5478788524459023,0.5478788524459023,"[1499, 12249, 51499]"
1777983542,500,0.5,lightgbm,0.7,0.14367857313632668,0.14367857313632668,0.10730167838186774,0.10730167838186774,0.5383373977908478,0.5383373977908478,0.1056136277556568,0.1056136277556568,0.5412413474092331,0.5412413474092331,"[1499, 11499, 21499]"
1777983643,500,0.5,lightgbm,0.7,0.14061229857026733,0.14061229857026733,0.10705063835891551,0.10705063835891551,0.5288875340697174,0.5288875340697174,0.10538921312165832,0.10538921312165832,0.5302436310868838,0.5302436310868838,"[1499, 9499, 40499]"
1777983743,500,0.5,lightgbm,0.7,0.11377841420800461,0.11377841420800461,0.1074246190424727,0.1074246190424727,0.5625382758744911,0.5625382758744911,0.10576130563662016,0.10576130563662016,0.5656921105567233,0.5656921105567233,"[1499, 11499, 24249, 55999]"
1777983841,500,0.5,lightgbm,0.7,0.14709749916319995,0.14709749916319995,0.1075347869746091,0.1075347869746091,0.5488272844642089,0.5488272844642089,0.10582855048634911,0.10582855048634911,0.5514910960248733,0.5514910960248733,"[1499, 12749, 51749]"
1777983939,500,0.5,lightgbm,0.7,0.14511906469660021,0.14511906469660021,0.10755271840481997,0.10755271840481997,0.5429099124946206,0.5429099124946206,0.10585140078203321,0.10585140078203321,0.5448797463972579,0.5448797463972579,"[1499, 12249, 52749]"
1777984037,500,0.5,lightgbm,0.7,0.14007435566394108,0.14007435566394108,0.10710443264954812,0.10710443264954812,0.5273274996413714,0.5273274996413714,0.1054385271267102,0.1054385271267102,0.5280743919688128,0.5280743919688128,"[1499, 9499, 41249]"
1777984137,500,0.5,lightgbm,0.7,0.1428537273466265,0.1428537273466265,0.10757064983503084,0.10757064983503084,0.5361318318749103,0.5361318318749103,0.10587064299512366,0.10587064299512366,0.5368349744017339,0.5368349744017339,"[1499, 12499, 54749]"
1777984236,500,0.5,lightgbm,0.7,0.10999551569506726,0.10999551569506726,0.10728251121076234,0.10728251121076234,0.5472645739910313,0.5472645739910313,0.10559729604654117,0.10559729604654117,0.5485815220594158,0.5485815220594158,"[1499, 11499, 21249, 56999]"
1777984336,500,0.5,lightgbm,0.7,0.14798809353034,0.14798809353034,0.10705063835891551,0.10705063835891551,0.5510149189499355,0.5510149189499355,0.10537509278163593,0.10537509278163593,0.552800606251623,0.552800606251623,"[1499, 9749, 22999]"
1777984437,500,0.5,lightgbm,0.7,0.1448022760962081,0.1448022760962081,0.10730167838186774,0.10730167838186774,0.5417085066704921,0.5417085066704921,0.10559828811734967,0.10559828811734967,0.5435403887422792,0.5435403887422792,"[1499, 11999, 52749]"
