seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1778307484,3000,0.1,lightgbm,0.7,0.11947916666666665,0.11947916666666665,0.215875,0.215875,0.5743125,0.5743125,0.21467378697549866,0.21467378697549866,0.576926646374942,0.576926646374942,"[8999, 20999, 56399]"
1778307583,3000,0.1,lightgbm,0.7,0.11947916666666665,0.11947916666666665,0.215875,0.215875,0.5743125,0.5743125,0.21467378697549866,0.21467378697549866,0.576926646374942,0.576926646374942,"[8999, 20999, 56399]"
1778307683,3000,0.1,lightgbm,0.7,0.11944793850454227,0.11944793850454227,0.21631027253668764,0.21631027253668764,0.5746540880503145,0.5746540880503145,0.2151278554224331,0.2151278554224331,0.5772826440931945,0.5772826440931945,"[8999, 20999, 56099]"
1778307780,3000,0.1,lightgbm,0.7,0.1195902777777778,0.1195902777777778,0.21645833333333334,0.21645833333333334,0.5752291666666667,0.5752291666666667,0.2152966719622584,0.2152966719622584,0.5779747617641889,0.5779747617641889,"[9299, 20999, 56399]"
1778307880,3000,0.1,lightgbm,0.7,0.11947916666666665,0.11947916666666665,0.215875,0.215875,0.5743125,0.5743125,0.21467378697549866,0.21467378697549866,0.576926646374942,0.576926646374942,"[8999, 20999, 56399]"
1778307978,3000,0.1,lightgbm,0.7,0.1195737246680643,0.1195737246680643,0.2168553459119497,0.2168553459119497,0.5755765199161426,0.5755765199161426,0.21563192985189517,0.21563192985189517,0.5783231546836639,0.5783231546836639,"[9299, 21299, 56099]"
1778308073,3000,0.1,lightgbm,0.7,0.11955974842767296,0.11955974842767296,0.2168972746331237,0.2168972746331237,0.5755765199161426,0.5755765199161426,0.21575449023653914,0.21575449023653914,0.5783384920588076,0.5783384920588076,"[9299, 20999, 56099]"
1778308172,3000,0.1,lightgbm,0.7,0.1195737246680643,0.1195737246680643,0.2168553459119497,0.2168553459119497,0.5755765199161426,0.5755765199161426,0.21563192985189517,0.21563192985189517,0.5783231546836639,0.5783231546836639,"[9299, 21299, 56099]"
1778308271,3000,0.1,lightgbm,0.7,0.11960416666666666,0.11960416666666666,0.21641666666666667,0.21641666666666667,0.5752291666666667,0.5752291666666667,0.21517483238518775,0.21517483238518775,0.577961096373994,0.577961096373994,"[9299, 21299, 56399]"
1778308369,3000,0.1,lightgbm,0.7,0.1195737246680643,0.1195737246680643,0.2168553459119497,0.2168553459119497,0.5755765199161426,0.5755765199161426,0.21563192985189517,0.21563192985189517,0.5783231546836639,0.5783231546836639,"[9299, 21299, 56099]"
1778308468,3000,0.1,lightgbm,0.7,0.1195737246680643,0.1195737246680643,0.2168553459119497,0.2168553459119497,0.5755765199161426,0.5755765199161426,0.21563192985189517,0.21563192985189517,0.5783231546836639,0.5783231546836639,"[9299, 21299, 56099]"
1778308567,3000,0.1,lightgbm,0.7,0.1195902777777778,0.1195902777777778,0.21645833333333334,0.21645833333333334,0.5752291666666667,0.5752291666666667,0.2152966719622584,0.2152966719622584,0.5779747617641889,0.5779747617641889,"[9299, 20999, 56399]"
1778308666,3000,0.1,lightgbm,0.7,0.1195902777777778,0.1195902777777778,0.21645833333333334,0.21645833333333334,0.5752291666666667,0.5752291666666667,0.2152966719622584,0.2152966719622584,0.5779747617641889,0.5779747617641889,"[9299, 20999, 56399]"
1778308768,3000,0.1,lightgbm,0.7,0.12024305555555555,0.12024305555555555,0.21683333333333332,0.21683333333333332,0.5775625,0.5775625,0.21558189400356695,0.21558189400356695,0.5803028088819717,0.5803028088819717,"[9599, 21299, 56399]"
1778308865,3000,0.1,lightgbm,0.7,0.11947916666666665,0.11947916666666665,0.215875,0.215875,0.5743125,0.5743125,0.21467378697549866,0.21467378697549866,0.576926646374942,0.576926646374942,"[8999, 20999, 56399]"
1778308965,3000,0.1,lightgbm,0.7,0.11944793850454227,0.11944793850454227,0.21631027253668764,0.21631027253668764,0.5746540880503145,0.5746540880503145,0.2151278554224331,0.2151278554224331,0.5772826440931945,0.5772826440931945,"[8999, 20999, 56099]"
1778309066,3000,0.1,lightgbm,0.7,0.1195902777777778,0.1195902777777778,0.21645833333333334,0.21645833333333334,0.5752291666666667,0.5752291666666667,0.2152966719622584,0.2152966719622584,0.5779747617641889,0.5779747617641889,"[9299, 20999, 56399]"
1778309166,3000,0.1,lightgbm,0.7,0.11955974842767296,0.11955974842767296,0.2168972746331237,0.2168972746331237,0.5755765199161426,0.5755765199161426,0.21575449023653914,0.21575449023653914,0.5783384920588076,0.5783384920588076,"[9299, 20999, 56099]"
1778309266,3000,0.1,lightgbm,0.7,0.11952777777777779,0.11952777777777779,0.21583333333333332,0.21583333333333332,0.5744166666666667,0.5744166666666667,0.21455182018476426,0.21455182018476426,0.5770218715932822,0.5770218715932822,"[8999, 21299, 56399]"
1778309365,3000,0.1,lightgbm,0.7,0.1195737246680643,0.1195737246680643,0.2168553459119497,0.2168553459119497,0.5755765199161426,0.5755765199161426,0.21563192985189517,0.21563192985189517,0.5783231546836639,0.5783231546836639,"[9299, 21299, 56099]"
