seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1777628411,500,0.5,lightgbm,first,0.7,0.14600965906374028,0.14600965906374028,0.10748099268397647,0.10748099268397647,0.5455099698751973,0.5455099698751973,0.10577840888720656,0.10577840888720656,0.5474028442211454,0.5474028442211454,"[1499, 11749, 43499]"
1777628510,500,0.5,lightgbm,all,0.7,0.14247716731219814,0.14247716731219814,0.10699684406828289,0.10699684406828289,0.5344283460048773,0.5344283460048773,0.10533555388606682,0.10533555388606682,0.5350737272608099,0.5350737272608099,"[1499, 9499, 39999]"
1777628618,500,0.5,lightgbm,first,0.7,0.1479163678094965,0.1479163678094965,0.10726581552144598,0.10726581552144598,0.5510149189499355,0.5510149189499355,0.10558002019576303,0.10558002019576303,0.5504098849067636,0.5504098849067636,"[1499, 9499, 20999]"
1777628717,500,0.5,lightgbm,all,0.7,0.14498756754172046,0.14498756754172046,0.10740926696313298,0.10740926696313298,0.5423719695882944,0.5423719695882944,0.1057192421059333,0.1057192421059333,0.544667514176188,0.544667514176188,"[1499, 9249, 21499]"
1777628822,500,0.5,lightgbm,first,0.7,0.11119816996289493,0.11119816996289493,0.10738859469001044,0.10738859469001044,0.5521812745415902,0.5521812745415902,0.10573484689928542,0.10573484689928542,0.5532368639769144,0.5532368639769144,"[1499, 9749, 21249, 54749]"
1777628923,500,0.5,lightgbm,all,0.7,0.11069506726457401,0.11069506726457401,0.10746188340807175,0.10746188340807175,0.5502421524663678,0.5502421524663678,0.10577423185174784,0.10577423185174784,0.5497716640067677,0.5497716640067677,"[1499, 9249, 20999, 56999]"
1777629030,500,0.5,lightgbm,first,0.7,0.15859752307177355,0.15859752307177355,0.10748099268397647,0.10748099268397647,0.5832735618992971,0.5832735618992971,0.10578329260894244,0.10578329260894244,0.5848030207880405,0.5848030207880405,"[1499, 12749, 39999]"
1777629130,500,0.5,lightgbm,all,0.7,0.11069506726457401,0.11069506726457401,0.10746188340807175,0.10746188340807175,0.5502421524663678,0.5502421524663678,0.10577423185174784,0.10577423185174784,0.5497716640067677,0.5497716640067677,"[1499, 9249, 20999, 56999]"
1777629235,500,0.5,lightgbm,first,0.7,0.11065330163190315,0.11065330163190315,0.10756871645232177,0.10756871645232177,0.5501819229799344,0.5501819229799344,0.10590623278999285,0.10590623278999285,0.5498321263999867,0.5498321263999867,"[1499, 10999, 20999, 56249]"
1777629336,500,0.5,lightgbm,all,0.7,0.14498756754172046,0.14498756754172046,0.10740926696313298,0.10740926696313298,0.5423719695882944,0.5423719695882944,0.1057192421059333,0.1057192421059333,0.544667514176188,0.544667514176188,"[1499, 9249, 21499]"
