seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1777654923,500,0.5,0.7,0.11161245001621097,0.11161245001621097,0.10738859469001044,0.10738859469001044,0.5538383947548543,0.5538383947548543,0.10572560855836227,0.10572560855836227,0.554311451058607,0.554311451058607,"[1499, 9499, 21249, 56249]"
1777654974,500,0.5,0.7,0.14832281356094293,0.14832281356094293,0.1071940898006025,0.1071940898006025,0.5521625304834313,0.5521625304834313,0.10550872320143151,0.10550872320143151,0.5525553899760685,0.5525553899760685,"[1499, 9499, 21249]"
1777655026,500,0.5,0.7,0.11853870798068188,0.11853870798068188,0.10717615837039163,0.10717615837039163,0.46279228231243724,0.46279228231243724,0.10553191511805692,0.10553191511805692,0.4656055031406896,0.4656055031406896,"[1499, 10749, 52749]"
1777655080,500,0.5,0.7,0.10941496451601283,0.10941496451601283,0.10733455816131705,0.10733455816131705,0.5449944162253684,0.5449944162253684,0.10568968324219098,0.10568968324219098,0.5450405126757114,0.5450405126757114,"[1499, 9499, 22499, 56249]"
1777655135,500,0.5,0.7,0.1456570076029264,0.1456570076029264,0.10767823841629609,0.10767823841629609,0.5446492612250753,0.5446492612250753,0.10598074026093972,0.10598074026093972,0.5464884173870065,0.5464884173870065,"[1499, 12249, 52249]"
1777655186,500,0.5,0.7,0.145949887629704,0.145949887629704,0.10733754124228949,0.10733754124228949,0.5451872041314015,0.5451872041314015,0.10563363444578334,0.10563363444578334,0.5470570909040469,0.5470570909040469,"[1499, 11999, 51499]"
1777655241,500,0.5,0.7,0.14586620762205327,0.14586620762205327,0.10735547267250035,0.10735547267250035,0.5449540955386601,0.5449540955386601,0.10565882140013892,0.10565882140013892,0.5468136980406059,0.5468136980406059,"[1499, 11999, 51999]"
1777655297,500,0.5,0.7,0.1399129727920432,0.1399129727920432,0.10728374695165686,0.10728374695165686,0.5270226653277865,0.5270226653277865,0.10561159172116134,0.10561159172116134,0.5288393983210145,0.5288393983210145,"[1499, 9249, 41249]"
1777655353,500,0.5,0.7,0.15557906565294313,0.15557906565294313,0.10728374695165686,0.10728374695165686,0.5740209439104863,0.5740209439104863,0.10559105506673468,0.10559105506673468,0.5759122018756193,0.5759122018756193,"[1499, 11999, 40499]"
1777655404,500,0.5,0.7,0.14511906469660021,0.14511906469660021,0.10755271840481997,0.10755271840481997,0.5429099124946206,0.5429099124946206,0.10585140078203321,0.10585140078203321,0.5448797463972579,0.5448797463972579,"[1499, 12249, 52749]"
1777655458,500,0.5,0.7,0.14377420743078467,0.14377420743078467,0.10721202123081337,0.10721202123081337,0.5385346435231674,0.5385346435231674,0.10554053526338265,0.10554053526338265,0.5394496670136678,0.5394496670136678,"[1499, 11499, 22499]"
1777655509,500,0.5,0.7,0.10587106884253755,0.10587106884253755,0.1074246190424727,0.1074246190424727,0.5309088944126229,0.5309088944126229,0.1057389751374991,0.1057389751374991,0.5328705172483604,0.5328705172483604,"[1499, 9999, 23749, 56249]"
1777655560,500,0.5,0.7,0.14832281356094293,0.14832281356094293,0.1071940898006025,0.1071940898006025,0.5521625304834313,0.5521625304834313,0.10550872320143151,0.10550872320143151,0.5525553899760685,0.5525553899760685,"[1499, 9499, 21249]"
1777655612,500,0.5,0.7,0.10943747973630175,0.10943747973630175,0.1074246190424727,0.1074246190424727,0.5451745379876797,0.5451745379876797,0.10576314420584114,0.10576314420584114,0.5471549441199292,0.5471549441199292,"[1499, 9499, 21499, 56249]"
1777655664,500,0.5,0.7,0.14531033328551618,0.14531033328551618,0.10722995266102424,0.10722995266102424,0.5431609525175728,0.5431609525175728,0.1055461261478367,0.1055461261478367,0.545027353518149,0.545027353518149,"[1499, 9499, 21499]"
1777655722,500,0.5,0.7,0.11415746186582508,0.11415746186582508,0.10737340410271123,0.10737340410271123,0.44984578970018646,0.44984578970018646,0.1057020692260946,0.1057020692260946,0.44843365841388105,0.44843365841388105,"[1499, 9999, 49749]"
1777655782,500,0.5,0.7,0.14577057332759527,0.14577057332759527,0.10730167838186774,0.10730167838186774,0.5446133983646536,0.5446133983646536,0.1055871680294737,0.1055871680294737,0.5465069631172484,0.5465069631172484,"[1499, 9999, 22999]"
1777655835,500,0.5,0.7,0.13719934968679767,0.13719934968679767,0.10722995266102424,0.10722995266102424,0.5188280017214173,0.5188280017214173,0.10556518530639941,0.10556518530639941,0.5210717260387049,0.5210717260387049,"[1499, 9249, 42249]"
1777655890,500,0.5,0.7,0.14638024195476498,0.14638024195476498,0.10760651269545259,0.10760651269545259,0.5467472385597475,0.5467472385597475,0.1058828589970255,0.1058828589970255,0.5494879606799097,0.5494879606799097,"[1499, 11749, 21499]"
1777655943,500,0.5,0.7,0.11127472171187722,0.11127472171187722,0.10746064339493498,0.10746064339493498,0.5525595302424439,0.5525595302424439,0.10579715677127084,0.10579715677127084,0.552086539084672,0.552086539084672,"[1499, 9499, 20999, 56249]"
