seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778303264,3000,0.1,lightgbm,0.7,0.012339108910891086,0.012339108910891086,0.6369306930693069,0.6369306930693069,0.7356435643564356,0.7356435643564356,0.5912770413733344,0.5912770413733344,0.7273474732171262,0.7273474732171262,2.266681085757543,13100.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52199]"
1778303340,3000,0.1,lightgbm,0.7,0.012813531353135316,0.012813531353135316,0.6372277227722772,0.6372277227722772,0.7397359735973598,0.7397359735973598,0.5916272306549787,0.5916272306549787,0.7315043102273373,0.7315043102273373,2.304056282290865,13100.0,4548.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33299, 38399, 47399, 52199]"
1778303413,3000,0.1,lightgbm,0.7,0.010535130718954247,0.010535130718954247,0.63140522875817,0.63140522875817,0.7156862745098039,0.7156862745098039,0.5892755411757505,0.5892755411757505,0.7082183523890074,0.7082183523890074,2.212213260710171,13200.0,4773.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47999, 52499]"
1778303490,3000,0.1,lightgbm,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778303565,3000,0.1,lightgbm,0.7,0.011794554455445541,0.011794554455445541,0.6389108910891089,0.6389108910891089,0.7332673267326733,0.7332673267326733,0.5929486373579217,0.5929486373579217,0.7241442235620065,0.7241442235620065,2.266681085757543,13100.0,4623.5,0.19999999999999996,"[12899, 15899, 19199, 28199, 33599, 38399, 47399, 52199]"
1778303642,3000,0.1,lightgbm,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778303718,3000,0.1,lightgbm,0.7,0.0107549504950495,0.0107549504950495,0.6366336633663366,0.6366336633663366,0.7226732673267326,0.7226732673267326,0.5911507670186891,0.5911507670186891,0.7145330684176292,0.7145330684176292,2.1954540693411544,13100.0,4773.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47999, 52199]"
1778303795,3000,0.1,lightgbm,0.7,0.009933993399339938,0.009933993399339938,0.6367326732673267,0.6367326732673267,0.7162046204620462,0.7162046204620462,0.591217392001049,0.591217392001049,0.7081479564968046,0.7081479564968046,2.1614932453336086,13100.0,4848.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 48299, 52199]"
1778303871,3000,0.1,lightgbm,0.7,0.012813531353135316,0.012813531353135316,0.6372277227722772,0.6372277227722772,0.7397359735973598,0.7397359735973598,0.5916272306549787,0.5916272306549787,0.7315043102273373,0.7315043102273373,2.304056282290865,13100.0,4548.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33299, 38399, 47399, 52199]"
1778303947,3000,0.1,lightgbm,0.7,0.012339108910891086,0.012339108910891086,0.6369306930693069,0.6369306930693069,0.7356435643564356,0.7356435643564356,0.5912770413733344,0.5912770413733344,0.7273474732171262,0.7273474732171262,2.266681085757543,13100.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52199]"
