seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778248141,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778248158,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778248176,3000,0.1,0.7,0.10629166666666666,0.10629166666666666,0.298,0.298,0.7231666666666666,0.7231666666666666,0.2163785053292853,0.2163785053292853,0.7014223185108963,0.7014223185108963,0.5622312865174732,5100.0,9071.0,0.0,"[3599, 10799, 13799, 23099]"
1778248192,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778248211,3000,0.1,0.7,0.10546747967479674,0.10546747967479674,0.2939837398373984,0.2939837398373984,0.7158536585365853,0.7158536585365853,0.21433927990106616,0.21433927990106616,0.6956181275634026,0.6956181275634026,0.5442322057411162,5100.0,9371.0,0.0,"[3599, 10799, 13799, 23399]"
1778248230,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778248249,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778248266,3000,0.1,0.7,0.10546747967479674,0.10546747967479674,0.2939837398373984,0.2939837398373984,0.7158536585365853,0.7158536585365853,0.21433927990106616,0.21433927990106616,0.6956181275634026,0.6956181275634026,0.5442322057411162,5100.0,9371.0,0.0,"[3599, 10799, 13799, 23399]"
1778248285,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778248304,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
