seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778245966,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778245982,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246000,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246017,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246034,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246052,3000,0.1,0.7,0.10450396825396827,0.10450396825396827,0.29174603174603175,0.29174603174603175,0.7097619047619048,0.7097619047619048,0.2158225220516984,0.2158225220516984,0.6905343096734987,0.6905343096734987,141.54929577464787,10050.0,71.0,0.0,"[3599, 10799, 14099, 23699]"
1778246069,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246085,3000,0.1,0.7,0.10629166666666666,0.10629166666666666,0.298,0.298,0.7231666666666666,0.7231666666666666,0.2163785053292853,0.2163785053292853,0.7014223185108963,0.7014223185108963,0.5622312865174732,5100.0,9071.0,0.0,"[3599, 10799, 13799, 23099]"
1778246101,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246117,3000,0.1,0.7,0.10546747967479674,0.10546747967479674,0.2939837398373984,0.2939837398373984,0.7158536585365853,0.7158536585365853,0.21433927990106616,0.21433927990106616,0.6956181275634026,0.6956181275634026,0.5442322057411162,5100.0,9371.0,0.0,"[3599, 10799, 13799, 23399]"
1778246133,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246150,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246167,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246185,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246203,3000,0.1,0.7,0.10629166666666666,0.10629166666666666,0.298,0.298,0.7231666666666666,0.7231666666666666,0.2163785053292853,0.2163785053292853,0.7014223185108963,0.7014223185108963,0.5622312865174732,5100.0,9071.0,0.0,"[3599, 10799, 13799, 23099]"
1778246220,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246236,3000,0.1,0.7,0.10629166666666666,0.10629166666666666,0.298,0.298,0.7231666666666666,0.7231666666666666,0.2163785053292853,0.2163785053292853,0.7014223185108963,0.7014223185108963,0.5622312865174732,5100.0,9071.0,0.0,"[3599, 10799, 13799, 23099]"
1778246255,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
1778246274,3000,0.1,0.7,0.10427083333333333,0.10427083333333333,0.303,0.303,0.7200833333333333,0.7200833333333333,0.22041208215614363,0.22041208215614363,0.6973168015879874,0.6973168015879874,137.32394366197184,9750.0,71.0,0.0,"[3599, 10799, 14099, 23099]"
1778246292,3000,0.1,0.7,0.10341463414634146,0.10341463414634146,0.2988617886178862,0.2988617886178862,0.712520325203252,0.712520325203252,0.2182759441963679,0.2182759441963679,0.6915480907513206,0.6915480907513206,139.43661971830986,9900.0,71.0,0.0,"[3599, 10799, 14099, 23399]"
