seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777583027,250,1.0,0.7,0.02974857142857143,0.02974857142857143,0.29536,0.29536,0.71184,0.71184,0.27552647418487275,0.27552647418487275,0.7036181527350679,0.7036181527350679,12.977171492204901,1942.25,149.66666666666666,0.0,"[750, 1251, 2003, 2504, 3256, 4008, 4509, 5261, 6013, 6514, 7266, 8018, 8519, 9271]"
1777583033,250,1.0,0.7,0.028971428571428568,0.028971428571428568,0.29872,0.29872,0.70432,0.70432,0.21844406906934263,0.21844406906934263,0.6983930400060488,0.6983930400060488,12.977171492204901,1942.25,149.66666666666666,0.0,"[750, 1251, 2003, 2504, 3256, 4008, 4509, 5261, 6013, 6514, 7266, 8018, 8519, 9271]"
1777583038,250,1.0,0.7,0.025908571428571423,0.025908571428571423,0.33072,0.33072,0.69344,0.69344,0.31051800648880706,0.31051800648880706,0.6893456040129996,0.6893456040129996,12.977171492204901,1942.25,149.66666666666666,0.0,"[750, 1251, 2003, 2504, 3256, 4008, 4509, 5261, 6013, 6514, 7266, 8018, 8519, 9271]"
1777583044,250,1.0,0.7,0.029177142857142853,0.029177142857142853,0.30464,0.30464,0.71312,0.71312,0.2965411335876299,0.2965411335876299,0.7083055002819018,0.7083055002819018,12.977171492204901,1942.25,149.66666666666666,0.0,"[750, 1251, 2003, 2504, 3256, 4008, 4509, 5261, 6013, 6514, 7266, 8018, 8519, 9271]"
1777583050,250,1.0,0.7,0.024365714285714286,0.024365714285714286,0.364,0.364,0.70512,0.70512,0.36047010130741614,0.36047010130741614,0.6978629531680429,0.6978629531680429,12.977171492204901,1942.25,149.66666666666666,0.0,"[750, 1251, 2003, 2504, 3256, 4008, 4509, 5261, 6013, 6514, 7266, 8018, 8519, 9271]"
