seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777665162,500,0.5,0.7,0.012542936288088646,0.012542936288088646,0.4109473684210526,0.4109473684210526,0.6492631578947369,0.6492631578947369,0.40747472381927335,0.40747472381927335,0.6425894891140023,0.6425894891140023,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665167,500,0.5,0.7,0.015822714681440444,0.015822714681440444,0.3494736842105263,0.3494736842105263,0.6501052631578947,0.6501052631578947,0.29807553492234784,0.29807553492234784,0.6488733761366506,0.6488733761366506,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665172,500,0.5,0.7,0.011811634349030469,0.011811634349030469,0.4458947368421053,0.4458947368421053,0.6703157894736842,0.6703157894736842,0.4371372792181318,0.4371372792181318,0.6637335930626684,0.6637335930626684,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665178,500,0.5,0.7,0.016731301939058172,0.016731301939058172,0.33957894736842104,0.33957894736842104,0.6574736842105263,0.6574736842105263,0.3326710792096084,0.3326710792096084,0.6570570995794826,0.6570570995794826,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665183,500,0.5,0.7,0.015113573407202216,0.015113573407202216,0.4271578947368421,0.4271578947368421,0.7143157894736842,0.7143157894736842,0.41828038377905413,0.41828038377905413,0.7164182905066312,0.7164182905066312,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665188,500,0.5,0.7,0.013806094182825489,0.013806094182825489,0.35536842105263156,0.35536842105263156,0.6176842105263158,0.6176842105263158,0.321698057506151,0.321698057506151,0.6170929482791428,0.6170929482791428,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665194,500,0.5,0.7,0.012210526315789475,0.012210526315789475,0.43473684210526314,0.43473684210526314,0.6667368421052632,0.6667368421052632,0.4115886373614048,0.4115886373614048,0.6562714558483903,0.6562714558483903,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665199,500,0.5,0.7,0.016465373961218836,0.016465373961218836,0.3328421052631579,0.3328421052631579,0.6456842105263157,0.6456842105263157,0.3024271317531433,0.3024271317531433,0.6229854056193616,0.6229854056193616,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665204,500,0.5,0.7,0.012310249307479227,0.012310249307479227,0.3911578947368421,0.3911578947368421,0.6250526315789474,0.6250526315789474,0.3757965216981947,0.3757965216981947,0.620902943559913,0.620902943559913,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665210,500,0.5,0.7,0.01503601108033241,0.01503601108033241,0.3745263157894737,0.3745263157894737,0.6602105263157895,0.6602105263157895,0.3609603403812927,0.3609603403812927,0.6575874211999934,0.6575874211999934,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665215,500,0.5,0.7,0.01532409972299169,0.01532409972299169,0.3717894736842105,0.3717894736842105,0.6629473684210526,0.6629473684210526,0.35655913903381564,0.35655913903381564,0.655666866743239,0.655666866743239,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665220,500,0.5,0.7,0.02155124653739612,0.02155124653739612,0.27242105263157895,0.27242105263157895,0.6818947368421052,0.6818947368421052,0.2601361456023284,0.2601361456023284,0.680395057194039,0.680395057194039,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665226,500,0.5,0.7,0.016565096952908587,0.016565096952908587,0.3696842105263158,0.3696842105263158,0.6844210526315789,0.6844210526315789,0.3253934274074126,0.3253934274074126,0.686360534862923,0.686360534862923,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665231,500,0.5,0.7,0.013518005540166203,0.013518005540166203,0.37663157894736843,0.37663157894736843,0.6334736842105263,0.6334736842105263,0.3529815842169131,0.3529815842169131,0.6286838878690807,0.6286838878690807,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665236,500,0.5,0.7,0.00884210526315789,0.00884210526315789,0.5212631578947369,0.5212631578947369,0.6892631578947368,0.6892631578947368,0.4939777901856412,0.4939777901856412,0.6798130292641297,0.6798130292641297,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665242,500,0.5,0.7,0.01841551246537396,0.01841551246537396,0.29157894736842105,0.29157894736842105,0.6414736842105263,0.6414736842105263,0.29094068229449765,0.29094068229449765,0.6407901069371483,0.6407901069371483,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665247,500,0.5,0.7,0.01615512465373961,0.01615512465373961,0.39094736842105265,0.39094736842105265,0.6978947368421052,0.6978947368421052,0.3888440047523269,0.3888440047523269,0.6967709938531036,0.6967709938531036,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665252,500,0.5,0.7,0.015047091412742382,0.015047091412742382,0.3863157894736842,0.3863157894736842,0.6722105263157895,0.6722105263157895,0.3820125526427591,0.3820125526427591,0.6722077100007603,0.6722077100007603,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665257,500,0.5,0.7,0.020975069252077566,0.020975069252077566,0.26610526315789473,0.26610526315789473,0.6646315789473685,0.6646315789473685,0.24799956116218916,0.24799956116218916,0.6565241772392186,0.6565241772392186,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665263,500,0.5,0.7,0.011977839335180054,0.011977839335180054,0.45073684210526316,0.45073684210526316,0.6783157894736842,0.6783157894736842,0.4200407463717893,0.4200407463717893,0.6599123616848153,0.6599123616848153,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
