seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777583298,250,1.0,lightgbm,0.7,0.016681481481481478,0.016681481481481478,0.4832,0.4832,0.6333333333333333,0.6333333333333333,0.47734762486678695,0.47734762486678695,0.6352603479495441,0.6352603479495441,nan,nan,265.0,0.0,"[1253, 2256, 3259, 4262, 5265, 6268, 7271, 8274, 9277]"
1777583309,250,1.0,lightgbm,0.7,0.011318518518518518,0.011318518518518518,0.5001333333333333,0.5001333333333333,0.602,0.602,0.49265722330068834,0.49265722330068834,0.604092544872493,0.604092544872493,nan,nan,265.0,0.0,"[1253, 2256, 3259, 4262, 5265, 6268, 7271, 8274, 9277]"
1777583321,250,1.0,lightgbm,0.7,0.03847407407407408,0.03847407407407408,0.3137333333333333,0.3137333333333333,0.66,0.66,0.29170667539665773,0.29170667539665773,0.6603176730163604,0.6603176730163604,nan,nan,265.0,0.0,"[1253, 2256, 3259, 4262, 5265, 6268, 7271, 8274, 9277]"
1777583333,250,1.0,lightgbm,0.7,0.012192592592592581,0.012192592592592581,0.5248,0.5248,0.6345333333333333,0.6345333333333333,0.5115172417714159,0.5115172417714159,0.6366839927144244,0.6366839927144244,nan,nan,265.0,0.0,"[1253, 2256, 3259, 4262, 5265, 6268, 7271, 8274, 9277]"
1777583344,250,1.0,lightgbm,0.7,0.01672592592592593,0.01672592592592593,0.4836,0.4836,0.6341333333333333,0.6341333333333333,0.44657387452393643,0.44657387452393643,0.6347597204635956,0.6347597204635956,nan,nan,265.0,0.0,"[1253, 2256, 3259, 4262, 5265, 6268, 7271, 8274, 9277]"
